primary_location,total_cases,avg_severity,avg_recency,total_risk,normalized_risk,lat,lon
Haryana’S Sirsa,1,3.0,0.25,0.75,0.75,,
Hathras,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Hayrana,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Hidma,1,1.0,0.1,0.1,0.1,,
Hirdepur,1,1.0,1.0,1.0,1.0,,
Hungary,1,1.0,1.0,1.0,1.0,,
India,98,1.2857142857142858,0.6432450127386606,70.5963828008299,0.7203712530696929,,
Indu,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Italy,1,1.0,0.25,0.25,0.25,,
Jagadish,1,2.0,0.9801986733067553,1.9603973466135105,1.9603973466135105,,
Jagatheeskumar,1,1.0,0.25,0.25,0.25,,
Jagdishpur,1,1.0,0.1,0.1,0.1,,
Jagwas,1,2.0,0.1,0.2,0.2,,
Jahangirpuri,2,1.0,0.1,0.2,0.1,,
Jaipur,2,3.0,0.1,0.6000000000000001,0.30000000000000004,,
Jaisalmer,1,3.0,0.17101568526332522,0.5130470557899757,0.5130470557899757,,
Jalpaiguri,1,1.0,0.1,0.1,0.1,,
Jammu,10,1.4,0.1956687806495096,2.506687806495096,0.2506687806495096,,
Jamnagar,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Jehangirpura,1,2.0,0.1,0.2,0.2,,
Jharkhand,5,2.2,0.37523815422956686,5.171616931285753,1.0343233862571506,,
Jiu-Jitsu,1,1.0,0.9980019986673331,0.9980019986673331,0.9980019986673331,,
Jodhpur,10,2.3,0.1,2.3000000000000003,0.23000000000000004,,
Jordan,1,1.0,0.9841273200552851,0.9841273200552851,0.9841273200552851,,
Junagadh,1,1.0,0.1,0.1,0.1,,
K.R.,1,3.0,0.25,0.75,0.75,,
Kalani Nagar,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Kalwari,1,3.0,0.9920319148370607,2.976095744511182,2.976095744511182,,
Kandhamal District Phulbani,1,3.0,0.696282367841771,2.088847103525313,2.088847103525313,,
Kangpokpi,3,1.0,0.7277083207533402,2.183124962260021,0.7277083207533402,,
Kannur,2,1.5,0.5400993366533776,2.0603973466135104,1.0301986733067552,,
Kanpur,5,1.4,0.1,0.7000000000000001,0.14,,
Kansla,1,2.0,0.1,0.2,0.2,,
Kapoor,1,1.0,0.1,0.1,0.1,,
Karimganj,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Karnataka,9,2.2222222222222223,0.6521206982143863,12.458857353940019,1.3843174837711132,,
Karoudarailway,1,1.0,0.1,0.1,0.1,,
Karthik,2,3.0,0.25,1.5,0.75,,
Kerala,18,1.9444444444444444,0.49619128818426184,17.734185083586524,0.9852325046436958,,
Khagrabari,1,1.0,0.1,0.1,0.1,,
Khairatiya,1,1.0,0.9900498337491681,0.9900498337491681,0.9900498337491681,,
Khanduli,1,1.0,0.1,0.1,0.1,,
Khandwa,1,1.0,0.1,0.1,0.1,,
Kharda,1,1.0,0.1,0.1,0.1,,
Khargone,1,1.0,0.25,0.25,0.25,,
Khatodara,1,2.0,0.1,0.2,0.2,,
Khatoli,1,2.0,0.1,0.2,0.2,,
Kiratpur-Manali,1,3.0,0.25,0.75,0.75,,
Kochhar,1,2.0,0.25,0.5,0.5,,
Koderma,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Kodhiyo,1,1.0,0.1,0.1,0.1,,
Kolhapur,1,1.0,0.1,0.1,0.1,,
Kolkata,4,1.75,0.3175800115089098,2.710960138106918,0.6777400345267295,,
Kottayam,1,1.0,0.1,0.1,0.1,,
Kotwali Raja Ka Rampur,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Krishnan,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Kulgam,1,1.0,0.1,0.1,0.1,,
Langate,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Latur,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Linga,1,1.0,0.1,0.1,0.1,,
Lisadh Village,1,2.0,0.1,0.2,0.2,,
Lisadi,1,1.0,0.1,0.1,0.1,,
Livelihood,1,1.0,0.97824023505121,0.97824023505121,0.97824023505121,,
Lonavala,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Lower Parel,1,1.0,0.25,0.25,0.25,,
Lucknow,4,1.5,0.4944630966986833,2.1778523867947333,0.5444630966986833,,
Lungsen,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Macmohan,1,1.0,0.25,0.25,0.25,,
Madhu,1,1.0,0.1,0.1,0.1,,
Madhya Pradesh,2,1.0,0.5480039946719958,1.0960079893439916,0.5480039946719958,,
Madhya Pradesh’S,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Madhya Pradesh’S Sehore,1,1.0,0.9980019986673331,0.9980019986673331,0.9980019986673331,,
Madras Hc,1,1.0,0.1,0.1,0.1,,
Madwadand,1,1.0,0.1,0.1,0.1,,
Mahila,1,2.0,0.1,0.2,0.2,,
Mainpuri,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Malpahari,1,3.0,0.25,0.75,0.75,,
Manda,1,1.0,0.9900498337491681,0.9900498337491681,0.9900498337491681,,
Mangalore,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Mangaluru,1,1.0,0.25,0.25,0.25,,
Manipur,2,3.0,0.49612897794120414,2.976773867647225,1.4883869338236124,,
Manipuri,2,1.5,0.1,0.30000000000000004,0.15000000000000002,,
Mathura,2,2.0,0.1,0.4,0.2,,
Mauli Jagran,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Meerut,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Mizoram,4,2.25,0.1,0.9000000000000001,0.22500000000000003,,
Mohali,1,1.0,0.1,0.1,0.1,,
Mohanlalganj,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Moradabad,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Mumbai,25,1.92,0.3047555843658378,12.318889609145943,0.4927555843658377,,
Mumbra,1,2.0,0.1,0.2,0.2,,
Munnabhai Mbbs,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Muradpura,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Muridkee,1,1.0,0.1,0.1,0.1,,
Murshidabad,3,1.6666666666666667,0.5084909226141304,2.9633202347062433,0.9877734115687478,,
Muzaffarnagar,8,2.625,0.269687808303999,4.416026929193556,0.5520033661491945,,
Muzaffarpur,1,1.0,0.1,0.1,0.1,,
Naazia,1,2.0,0.1,0.2,0.2,,
Naduand,1,1.0,0.1,0.1,0.1,,
Nagaland,1,1.0,0.1,0.1,0.1,,
Nagpur,1,2.0,0.1,0.2,0.2,,
Najru,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Namazgarh,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Narayan,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Narela,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Nashik,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Naxal,1,1.0,0.1,0.1,0.1,,
Nepal,2,2.0,0.1,0.4,0.2,,
New Zealand,1,1.0,1.0,1.0,1.0,,
Nighasan,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Nirmal,1,3.0,0.9980019986673331,2.994005996001999,2.994005996001999,,
Nithyananda,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Noida,3,1.0,0.6986693297813305,2.0960079893439914,0.6986693297813305,,
North Bangalore,1,1.0,0.1,0.1,0.1,,
North Delhi,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Nuagaon,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Odisha,11,2.4545454545454546,0.6291896587813387,16.115891402582726,1.4650810365984297,,
Orissa,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Oshiwara,1,2.0,0.1,0.2,0.2,,
Paithan,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Palestine,1,1.0,0.1,0.1,0.1,,
Palghar,1,1.0,0.1,0.1,0.1,,
Panchenda,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Panchkula,1,3.0,0.9980019986673331,2.994005996001999,2.994005996001999,,
Pankaj,1,1.0,0.1,0.1,0.1,,
Paranaganj,1,3.0,0.7482635675785653,2.244790702735696,2.244790702735696,,
Pargal,1,2.0,0.1,0.2,0.2,,
Parjang,1,2.0,0.7572968215143355,1.514593643028671,1.514593643028671,,
Patna,2,1.5,0.175,0.45,0.225,,
Pooja,1,2.0,0.1,0.2,0.2,,
Portugal,1,1.0,0.1,0.1,0.1,,
Pratapgarh,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Preity Zinta,1,2.0,0.1,0.2,0.2,,
Pulwama,5,1.0,0.11588492771569728,0.5794246385784864,0.11588492771569728,,
Puri Orissa,1,1.0,0.1,0.1,0.1,,
Qatar,1,1.0,0.9980019986673331,0.9980019986673331,0.9980019986673331,,
Rairangpur,1,2.0,0.9900498337491681,1.9800996674983362,1.9800996674983362,,
Rajasthan,2,1.0,0.1,0.2,0.1,,
Rajasthan Hc,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Rajkot,3,3.0,0.1239003726519512,1.1151033538675608,0.3717011179558536,,
Rajouri,1,1.0,0.1,0.1,0.1,,
Ranchi,2,2.0,0.5490009993336665,3.094005996001999,1.5470029980009996,,
Rayagada,1,2.0,0.1,0.2,0.2,,
Razia,1,3.0,0.9762857097579093,2.928857129273728,2.928857129273728,,
Rhode Island,1,3.0,0.9980019986673331,2.994005996001999,2.994005996001999,,
Ridge Road,1,1.0,0.25,0.25,0.25,,
Rohimapur,1,1.0,0.1,0.1,0.1,,
Rohit Pawar,1,1.0,0.9920319148370607,0.9920319148370607,0.9920319148370607,,
Saamana,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Sadashiv Patti,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Sagarpara,1,1.0,0.25,0.25,0.25,,
Sagwan,1,2.0,0.25,0.5,0.5,,
Saharanpur,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Sahaswan,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Samanna Village,1,1.0,0.9980019986673331,0.9980019986673331,0.9980019986673331,,
San Francisco,2,2.0,0.21893547387536497,0.9378709477507299,0.46893547387536494,,
Sangli District,1,3.0,0.5610192838421706,1.6830578515265118,1.6830578515265118,,
Sansa Village,1,3.0,0.25,0.75,0.75,,
Sanyukt Kavach,1,1.0,1.0,1.0,1.0,,
Saraswati Nagar,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Satara,1,3.0,0.764907781102864,2.2947233433085916,2.2947233433085916,,
Sengar,1,3.0,0.8641577031846428,2.5924731095539286,2.5924731095539286,,
Shakti Mills,4,3.0,0.1,1.2000000000000002,0.30000000000000004,,
Sharma,6,2.3333333333333335,0.24966699977788886,2.298001998667333,0.38300033311122217,,
Shillong,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Silchar,1,3.0,0.97824023505121,2.93472070515363,2.93472070515363,,
Singampunari,1,3.0,0.25,0.75,0.75,,
Singh,6,1.6666666666666667,0.5574712216422282,3.744827329853369,0.6241378883088948,,
Singrauli,1,1.0,0.1,0.1,0.1,,
Sitapur,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Sivaganga,1,1.0,0.25,0.25,0.25,,
Siwan,1,1.0,0.1,0.1,0.1,,
Siyana,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Sonapur,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Sonarpur,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Spain,1,2.0,0.9940179640539353,1.9880359281078706,1.9880359281078706,,
Srinagar,6,1.3333333333333333,0.2483416389581947,1.690049833749168,0.281674972291528,,
Sultanpur,2,2.0,0.1,0.4,0.2,,
Sunil,1,1.0,0.1,0.1,0.1,,
Suri,1,2.0,0.1,0.2,0.2,,
Taj,1,1.0,0.1,0.1,0.1,,
Talwars,1,1.0,0.1,0.1,0.1,,
Tehran,1,1.0,0.9920319148370607,0.9920319148370607,0.9920319148370607,,
Tejpal,2,2.5,0.1,0.5,0.25,,
Telangana,4,1.5,0.36150199733599786,1.6460079893439916,0.4115019973359979,,
Telangana Bjp,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Texas,1,1.0,0.97824023505121,0.97824023505121,0.97824023505121,,
Thane,3,2.3333333333333335,0.6447716205707889,4.122350789820238,1.3741169299400793,,
Thirthahalli,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Tihar,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Trichy,2,2.0,0.17067433704436732,0.6826973481774693,0.34134867408873465,,
Turkmenistan,1,3.0,0.9920319148370607,2.976095744511182,2.976095744511182,,
Uae,1,1.0,0.9860975442628619,0.9860975442628619,0.9860975442628619,,
Udaipur,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Udupi,1,1.0,0.1,0.1,0.1,,
Uluberia,1,3.0,0.7588129307612413,2.276438792283724,2.276438792283724,,
Unnao,4,3.0,0.896490583598592,10.757887003183104,2.689471750795776,,
Usa,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Ushait,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Uttarakhand,3,1.6666666666666667,0.4460239042873102,3.3142151385857916,1.1047383795285972,,
Vadodara,2,3.0,0.25,1.5,0.75,,
Vadodara City,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Vandana,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Varanasi,1,2.0,0.1,0.2,0.2,,
Varnika,1,1.0,0.1,0.1,0.1,,
Vidisha,1,2.0,0.1,0.2,0.2,,
Vijayawada,1,3.0,0.9841273200552851,2.952381960165855,2.952381960165855,,
Vinay,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Vinod,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
Visakhapatnam,1,1.0,0.9960079893439915,0.9960079893439915,0.9960079893439915,,
West Bengal,16,1.8125,0.6770243965158521,16.88866895239618,1.0555418095247613,,
West Godavari,1,3.0,0.1,0.30000000000000004,0.30000000000000004,,
West Singhbhum,1,1.0,0.1,0.1,0.1,,
Willington,1,2.0,0.9900498337491681,1.9800996674983362,1.9800996674983362,,
Yasin,1,1.0,0.1,0.1,0.1,,
Yellapur,1,1.0,0.8816148467834161,0.8816148467834161,0.8816148467834161,,
Zinta,3,2.0,0.10000000000000002,0.6000000000000001,0.20000000000000004,,
